rank,rank_label,school_name,city,state,tuition,enrollment_full_time,summary,url
151,#151 in Best Computer Science Schools (tie),Towson University,,MD,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/towson-university-43168
151,#151 in Best Computer Science Schools (tie),University of Alabama at Birmingham,,AL,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-alabama-at-birmingham-43001
151,#151 in Best Computer Science Schools (tie),University of Colorado--Colorado Springs,Colorado Springs,CO,"$2,048 per credit (full-time) | $2,048 per credit (part-time)",118,The College of Engineering and Applied Science at University of Colorado--Colorado Springs has an application deadline...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-colorado-colorado-springs-43163
151,#151 in Best Computer Science Schools (tie),University of Idaho,,ID,"$30,052 per year (full-time) | $1,670 per credit (part-time)",69,The Computer Science Department at University of Idaho has an application deadline of July 30. Its tuition is...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-idaho-43148
151,#151 in Best Computer Science Schools (tie),University of Louisville,Louisville,KY,"$30,551 per year (full-time) | $1,687 per credit (part-time)",280,"The application fee is $65 for U.S. residents and $65 for international students. Its tuition is full-time: $30,551 per...",https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-louisville-43131
151,#151 in Best Computer Science Schools (tie),University of Maine,Orono,ME,"$21,273 per year (full-time) | $10,681 per year (part-time)",128,The Department of Computer Science at University of Maine has an application deadline of Jan. 15. The application fee...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-maine-43149
151,#151 in Best Computer Science Schools (tie),University of Memphis,Memphis,TN,"$15,840 per year (full-time) | $880 per credit (part-time)",185,"The application fee is $35 for U.S. residents and $60 for international students. Its tuition is full-time: $15,840 per...",https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-memphis-43150
151,#151 in Best Computer Science Schools (tie),University of Michigan--Dearborn,Dearborn,MI,"$31,440 per year (full-time) | $31,440 per year (part-time)",469,The College of Engineering & Computer Science at University of Michigan--Dearborn has an application deadline of Feb...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-michigan-dearborn-43208
151,#151 in Best Computer Science Schools (tie),University of Mississippi,,MS,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-mississippi-main-campus-43143
151,#151 in Best Computer Science Schools (tie),University of Nebraska--Omaha,,NE,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-nebraska-at-omaha-43173
151,#151 in Best Computer Science Schools (tie),University of Wyoming,Laramie,WY,"$21,821 per year (full-time) | $1,006 per credit (part-time)",36,The Department of Electrical Engineering and Computer Science at University of Wyoming has an application deadline of...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-wyoming-43183
169,#169 in Best Computer Science Schools (tie),Embry-Riddle Aeronautical University -- Daytona Beach,Daytona Beach,FL,"$22,870 per year (full-time) | $3,433 per credit (part-time)",15,"The application fee is $50 for U.S. residents and $50 for international students. Its tuition is full-time: $22,870 per...",https://www.usnews.com/best-graduate-schools/top-computer-science-schools/embry-riddle-aeronautical-university---daytona-beach-43615
169,#169 in Best Computer Science Schools (tie),Kent State University,Kent,OH,"$25,091 per year (full-time) | $1,141 per credit (part-time)",351,The Department of Computer Science at Kent State University has an application deadline of June 15. The application fee...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/kent-state-university-kent-campus-43118
169,#169 in Best Computer Science Schools (tie),Marquette University,,WI,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/marquette-university-43196
169,#169 in Best Computer Science Schools (tie),Montana State University,,MT,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/montana-state-university-43172
169,#169 in Best Computer Science Schools (tie),Texas State University,San Marcos,TX,"$21,455 per year (full-time) | $925 per credit (part-time)",194,The computer science school at Texas State University has an application deadline of Aug. 1. The application fee is $5...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/texas-state-university-43301
169,#169 in Best Computer Science Schools (tie),University of Alabama--Huntsville,Huntsville,AL,"$28,270 per year (full-time) | $1,720 per credit (part-time)",133,"The application fee is $60 for U.S. residents and $60 for international students. Its tuition is full-time: $28,270 per...",https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-alabama-in-huntsville-43002
169,#169 in Best Computer Science Schools (tie),University of Missouri--Kansas City,Kansas City,MO,"$24,580 per year (full-time) | $16,107 per year (part-time)",469,The Department of Computer Science and Electrical Engineering at University of Missouri--Kansas City has an application...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-missouri-kansas-city-43130
169,#169 in Best Computer Science Schools (tie),University of Nevada--Reno,,NV,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-nevada-reno-43174
169,#169 in Best Computer Science Schools (tie),University of Tulsa,Tulsa,OK,"$2,680 per credit (full-time) | $2,680 per credit (part-time)",73,The Department of Mathematical and Computer Sciences at University of Tulsa has an application deadline of Feb. 1. The...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-tulsa-43159
169,#169 in Best Computer Science Schools (tie),Wichita State University,Wichita,KS,$854 per credit (full-time) | $854 per credit (part-time),124,The application fee is $60 for U.S. residents and $75 for international students. Its tuition is full-time: $854 per...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/wichita-state-university-43206
169,#169 in Best Computer Science Schools (tie),Wright State University,,OH,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/wright-state-university-43119
180,#180 in Best Computer Science Schools (tie),Claremont Graduate University,,CA,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/claremont-graduate-university-43107
180,#180 in Best Computer Science Schools (tie),Dakota State University,Madison,SD,"$15,908 per year (full-time) | $9,942 per year (part-time)",83,The Beacom College of Computer and Cyber Sciences at Dakota State University has an application deadline of May 1. The...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/dakota-state-university-43185
180,#180 in Best Computer Science Schools (tie),New Mexico Institute of Mining and Technology,Socorro,NM,"$28,835 per year (full-time) | $6,712 per year (part-time)",469,The Department of Computer Science at New Mexico Institute of Mining and Technology has an application deadline of Jan...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/new-mexico-institute-of-mining-and-technology-43134
180,#180 in Best Computer Science Schools (tie),North Carolina A&T State University,,NC,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/north-carolina-a--t-state-university-43209
180,#180 in Best Computer Science Schools (tie),North Dakota State University,Fargo,ND,$763 per credit (full-time) | $763 per credit (part-time),139,The Computer Science Department at North Dakota State University has an application deadline of Feb. 1. The application...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/north-dakota-state-university-43117
180,#180 in Best Computer Science Schools (tie),Southern Illinois University--Carbondale,"Carbondale, IL",IL,"$16,700 per year (full-time) | $2,312 per credit (part-time)",135,"The College of Agricultural, Life, and Physical Sciences at Southern Illinois University--Carbondale has an application...",https://www.usnews.com/best-graduate-schools/top-computer-science-schools/southern-illinois-university-carbondale-43189
180,#180 in Best Computer Science Schools (tie),University of Arkansas--Little Rock,,AR,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-arkansas-at-little-rock-43162
180,#180 in Best Computer Science Schools (tie),University of Colorado--Denver,Denver,CO,"$1,989 per credit (full-time) | $1,989 per credit (part-time)",165,"The application fee is $50 for U.S. residents and $75 for international students. Its tuition is full-time: $1,989 per...",https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-colorado-denver-43164
180,#180 in Best Computer Science Schools (tie),University of Denver,Denver,CO,"$42,149 per year (full-time) | $20,835 per year (part-time)",190,The computer science school at University of Denver has an application deadline of Feb. 14. The application fee is $6...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-denver-43165
180,#180 in Best Computer Science Schools (tie),University of Puerto Rico--Mayaguez,PR,,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-puerto-rico-mayaguez-43191
190,#190 in Best Computer Science Schools (tie),Clarkson University,,NY,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/clarkson-university-43965
190,#190 in Best Computer Science Schools (tie),Northern Arizona University,Flagstaff,AZ,"$31,979 per year (full-time) | $1,704 per credit (part-time)",176,"The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $31,979 per...",https://www.usnews.com/best-graduate-schools/top-computer-science-schools/northern-arizona-university-43931
190,#190 in Best Computer Science Schools (tie),Oakland University,Rochester,MI,"$1,027 per credit (full-time) | $1,027 per credit (part-time)",161,The Department of Computer Science and Engineering at Oakland University has an application deadline of July 15. The...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/oakland-university-43161
190,#190 in Best Computer Science Schools (tie),Tennessee Technological University,Cookeville,TN,"$1,383 per credit (full-time) | $806 per credit (part-time)",80,The College of Engineering at Tennessee Technological University has an application deadline of Aug. 1. The application...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/tennessee-technological-university-43216
190,#190 in Best Computer Science Schools (tie),University of New Orleans,New Orleans,LA,"$13,903 (full-time) | $1,544 per year (part-time)",44,The Department of Computer Science at University of New Orleans has an application deadline of Aug. 15. The application...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-new-orleans-43167
195,#195 in Best Computer Science Schools (tie),Nova Southeastern University,Fort Lauderdale,FL,"$1,079 per credit (full-time) | $1,079 per credit (part-time)",73,"The application fee is $50 for U.S. residents and $50 for international students. Its tuition is full-time: $1,079 per...",https://www.usnews.com/best-graduate-schools/top-computer-science-schools/nova-southeastern-university-43024
195,#195 in Best Computer Science Schools (tie),Pace University,New York,NY,"$1,590 per credit (full-time) | $3,180 per credit (part-time)",1514,The Seidenberg School of Computer Science and Information Systems at Pace University has an application deadline of...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/pace-university-43213
195,#195 in Best Computer Science Schools (tie),University of Southern Mississippi,,MS,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-southern-mississippi-43153
198,#198 in Best Computer Science Schools (tie),Bowie State University,Bowie,MD,"$16,241 per year (full-time) | $875 per credit (part-time)",93,The Department of Computer Science at Bowie State University has an application deadline of July 1. The application fee...,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/bowie-state-university-43198
198,#198 in Best Computer Science Schools (tie),Chapman University,,CA,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/chapman-university-43199
198,#198 in Best Computer Science Schools (tie),The Catholic University of America,Washington,DC,"$2,485 per credit (full-time) | $2,245 per credit (part-time)",150,"The application fee is $60 for U.S. residents and $60 for international students. Its tuition is full-time: $2,485 per...",https://www.usnews.com/best-graduate-schools/top-computer-science-schools/the-catholic-university-of-america-43202
198,#198 in Best Computer Science Schools (tie),University of South Alabama,,AL,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-south-alabama-43950
202,#202 in Best Computer Science Schools (tie),LIU Post,,NY,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/long-island-university-43175
202,#202 in Best Computer Science Schools (tie),University of Bridgeport,,CT,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/university-of-bridgeport-43186
202,#202 in Best Computer Science Schools (tie),Walden University,,MN,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/walden-university-43171
205,#205 in Best Computer Science Schools,Capitol Technology University,,MD,N/A,N/A,,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/capitol-technology-university-43300
